,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample_freq,state,params_n_estimators
532,532,0.1852207245282161,2023-06-29 13:39:29.437161,2023-06-29 13:39:31.058522,0 days 00:00:01.621361,goss,0.47215017120184744,0.06313203697431671,41,5,12,53,0.0002686282872326279,0.00030963689488932,3,COMPLETE,182
323,323,0.18525479772098385,2023-06-29 13:27:54.082810,2023-06-29 13:27:55.747225,0 days 00:00:01.664415,goss,0.6203197053252112,0.06210436642050111,38,5,10,58,0.00835367139219906,2.061943402627662e-08,3,COMPLETE,187
835,835,0.18529179764247994,2023-06-29 14:04:18.978431,2023-06-29 14:04:22.216708,0 days 00:00:03.238277,goss,0.6529252247891838,0.022852206090395132,50,6,11,62,0.0006597246721748158,7.718682420970151e-05,5,COMPLETE,498
997,997,0.18534463603368623,2023-06-29 14:18:16.550176,2023-06-29 14:18:18.707757,0 days 00:00:02.157581,goss,0.528529460239079,0.047868994563282495,38,6,15,53,0.002042902240737533,0.00028303440426165365,4,COMPLETE,284
932,932,0.1853506152711737,2023-06-29 14:12:04.323977,2023-06-29 14:12:06.789315,0 days 00:00:02.465338,goss,0.4062138466338908,0.0361869645075668,49,5,9,55,2.5850002619067312e-06,7.156576492137778e-08,5,COMPLETE,338
203,203,0.18535371238811515,2023-06-29 13:22:15.425397,2023-06-29 13:22:17.644316,0 days 00:00:02.218919,goss,0.49844076573558793,0.062211256111394685,47,5,9,43,7.901182786560018e-05,7.493875057092845e-08,3,COMPLETE,254
741,741,0.1853824626241608,2023-06-29 13:56:37.833418,2023-06-29 13:56:40.815200,0 days 00:00:02.981782,goss,0.4727985675452602,0.04643897795624114,36,5,7,31,1.1868360031414096e-08,0.1119842868238812,3,COMPLETE,253
577,577,0.18539230468657475,2023-06-29 13:42:11.461665,2023-06-29 13:42:13.118950,0 days 00:00:01.657285,goss,0.5139789908434549,0.06613115543183096,43,5,9,36,0.1415001563290656,6.5599645168599e-08,3,COMPLETE,273
436,436,0.18545431508252072,2023-06-29 13:32:13.604825,2023-06-29 13:32:15.142497,0 days 00:00:01.537672,goss,0.5471921065089302,0.045731743322645374,78,5,9,34,2.1419837283742602e-05,5.324567709100099e-07,5,COMPLETE,294
990,990,0.18546052451516343,2023-06-29 14:17:59.149346,2023-06-29 14:18:04.226381,0 days 00:00:05.077035,goss,0.5580759056628282,0.013397002795013909,32,6,9,48,9.916898770954355e-05,0.0031071712366558877,4,COMPLETE,787
818,818,0.18565477266259306,2023-06-29 14:03:02.564704,2023-06-29 14:03:05.120716,0 days 00:00:02.556012,goss,0.6078317933342484,0.02933158399908566,38,5,8,62,1.3692692446772568e-05,6.643459660336342e-07,5,COMPLETE,407
305,305,0.18569733019130996,2023-06-29 13:27:07.442416,2023-06-29 13:27:09.700413,0 days 00:00:02.257997,goss,0.4841100772792256,0.048027091132029846,110,5,15,26,0.003529155955754133,2.165067033380643e-08,5,COMPLETE,211
309,309,0.18569984481964824,2023-06-29 13:27:15.726600,2023-06-29 13:27:17.439488,0 days 00:00:01.712888,goss,0.49419078132573,0.058798345591903174,110,5,14,25,0.00230871590530812,1.0046540946997874e-08,4,COMPLETE,202
81,81,0.18574515062596994,2023-06-29 13:17:57.192499,2023-06-29 13:17:59.418493,0 days 00:00:02.225994,goss,0.49050670503771165,0.04442168550161875,42,6,8,57,0.00012636635918964698,1.0999899449064506e-08,6,COMPLETE,258
149,149,0.18580433444427685,2023-06-29 13:20:18.888370,2023-06-29 13:20:20.998037,0 days 00:00:02.109667,goss,0.46811690689987934,0.05074684101567617,51,5,7,43,0.0001813375232456029,2.0518363969560034e-08,6,COMPLETE,188
427,427,0.1858351042379453,2023-06-29 13:31:58.169592,2023-06-29 13:31:59.907977,0 days 00:00:01.738385,goss,0.45994988244857055,0.035542129865297485,43,7,12,21,1.0746993049897848e-05,9.085940570995471e-08,6,COMPLETE,363
804,804,0.18585445139051265,2023-06-29 14:02:21.191753,2023-06-29 14:02:32.811182,0 days 00:00:11.619429,goss,0.5038313818923902,0.006694093406836416,38,8,8,36,3.2367131152616474e-05,1.314447362013186e-07,3,COMPLETE,1544
518,518,0.18587822676320434,2023-06-29 13:38:46.333165,2023-06-29 13:38:48.076156,0 days 00:00:01.742991,goss,0.44875116429570194,0.065882441526734,52,7,10,37,2.765728024090127e-05,7.437425166454634e-05,7,COMPLETE,144
130,130,0.18588554999268814,2023-06-29 13:19:31.039045,2023-06-29 13:19:33.741142,0 days 00:00:02.702097,goss,0.4742246193194355,0.034533960164714356,41,5,9,46,6.240443006659314e-06,7.397457541992708e-08,5,COMPLETE,373
784,784,0.18589864401048595,2023-06-29 14:00:59.679648,2023-06-29 14:01:02.446928,0 days 00:00:02.767280,goss,0.5120417260326247,0.03206965687551241,75,7,10,41,1.290422489544798e-06,0.03526120267667966,6,COMPLETE,398
502,502,0.18592785620982855,2023-06-29 13:37:24.949878,2023-06-29 13:37:27.205230,0 days 00:00:02.255352,goss,0.44242894190326976,0.05924742894914142,36,7,12,50,1.3906247718621932e-05,1.3952965883500471e-08,5,COMPLETE,251
