,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_learning_rate,params_max_leaves,params_min_data_in_leaf,params_random_strength,params_subsample,state,params_n_estimators
500,500,0.23129870325063306,2023-07-12 23:09:04.903576,2023-07-12 23:09:10.364927,0 days 00:00:05.461351,,,MVS,0.33771989270994024,7,Depthwise,30.503967962725305,0.03618974825926018,,35,54.55642242942311,0.33757062918189745,COMPLETE,3128
955,955,0.2313043057771948,2023-07-13 03:12:01.414576,2023-07-13 03:12:47.731742,0 days 00:00:46.317166,,,MVS,0.6227750947974963,10,Depthwise,24.36253140316166,0.0068198251366100695,,33,57.352723415083105,0.777831240194687,COMPLETE,1436
106,106,0.23133279762043601,2023-07-12 21:18:39.879616,2023-07-12 21:18:50.219936,0 days 00:00:10.340320,,,MVS,0.40413051378775505,9,Depthwise,52.27733434723309,0.022138305520210916,,38,30.46290913170764,0.3586116829698814,COMPLETE,971
754,754,0.23134621650699916,2023-07-13 00:51:59.080660,2023-07-13 00:52:03.612549,0 days 00:00:04.531889,,,MVS,0.40808095160866803,9,Depthwise,13.209072424637787,0.05827935432078758,,27,56.71309688849698,0.3452237232163719,COMPLETE,1795
82,82,0.23135643783928336,2023-07-12 21:11:27.532162,2023-07-12 21:11:42.967709,0 days 00:00:15.435547,,,MVS,0.5117772814596745,9,Depthwise,11.652822915279089,0.013306804256213875,,28,26.117573706284603,0.46660782296759734,COMPLETE,690
937,937,0.23136446735550342,2023-07-13 03:03:47.355708,2023-07-13 03:04:05.130644,0 days 00:00:17.774936,,,MVS,0.696614336793608,10,Depthwise,11.43415415353971,0.011577381491804033,,31,26.378228796174046,0.48905089136158175,COMPLETE,2651
740,740,0.231370607302613,2023-07-13 00:41:03.151974,2023-07-13 00:41:14.565923,0 days 00:00:11.413949,,,MVS,0.4016806520397224,10,Depthwise,39.58513964556862,0.024022369068084526,,32,58.54480766891651,0.55661737969803,COMPLETE,1768
144,144,0.2314048731996423,2023-07-12 21:28:21.195230,2023-07-12 21:28:35.688702,0 days 00:00:14.493472,,,MVS,0.37223823128685873,9,Depthwise,80.62349151185933,0.023223812796890942,,23,46.47024019277134,0.3145109991819938,COMPLETE,2069
236,236,0.2315179158685795,2023-07-12 21:57:22.660556,2023-07-12 21:57:42.806202,0 days 00:00:20.145646,,,MVS,0.538992030403457,10,Depthwise,5.689490949554047,0.009564259255003305,,23,43.15349663052353,0.3840635775663956,COMPLETE,1407
218,218,0.23156211003051103,2023-07-12 21:54:28.473979,2023-07-12 21:54:33.545790,0 days 00:00:05.071811,,,MVS,0.35632027195005633,9,Depthwise,21.805277388547108,0.06316161511469374,,29,44.06385409810238,0.46715898152783286,COMPLETE,770
167,167,0.23166235709818256,2023-07-12 21:31:44.662058,2023-07-12 21:31:50.646783,0 days 00:00:05.984725,,,MVS,0.39974536645402864,10,Depthwise,36.86780110785197,0.05238303078336522,,28,48.67533906242093,0.357979605564544,COMPLETE,836
771,771,0.2316872097477325,2023-07-13 00:58:21.076310,2023-07-13 00:58:27.695034,0 days 00:00:06.618724,,,MVS,0.4003090100189074,9,Depthwise,14.679262397096561,0.030406999760794255,,31,41.17127017288949,0.380657378057485,COMPLETE,660
332,332,0.23169345219126686,2023-07-12 22:21:16.304839,2023-07-12 22:21:33.710852,0 days 00:00:17.406013,,,MVS,0.4415703385215798,7,Depthwise,5.322170651537321,0.009129164152390333,,28,63.75799953513312,0.46444684197700636,COMPLETE,651
265,265,0.23178060156242475,2023-07-12 22:02:32.235631,2023-07-12 22:02:40.709581,0 days 00:00:08.473950,,,MVS,0.3833384804303901,10,Depthwise,41.68937595614892,0.04689355417634973,,24,39.18839886946639,0.5032788669423758,COMPLETE,0
227,227,0.2317920507351537,2023-07-12 21:56:10.687345,2023-07-12 21:56:23.706887,0 days 00:00:13.019542,,,MVS,0.6825984232015856,9,Depthwise,27.87518838244338,0.021607347125811714,,27,46.645033703822065,0.4198792471776925,COMPLETE,492
108,108,0.23184166120129432,2023-07-12 21:18:56.312717,2023-07-12 21:19:05.965662,0 days 00:00:09.652945,,,MVS,0.3969253824590637,9,Depthwise,54.70508644461647,0.023231525260110346,,37,30.451842647436923,0.3657087013876158,COMPLETE,1100
