,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,params_n_estimators
560,560,0.18281877497044657,2023-07-06 19:57:30.411764,2023-07-06 19:57:35.023517,0 days 00:00:04.611753,goss,0.6890252663532392,0.012751815657229864,64,6,9,40,2.2132824820332884e-07,7.5895794106790195e-06,,7,COMPLETE,715
790,790,0.18284884367647417,2023-07-06 20:18:26.997895,2023-07-06 20:18:30.136385,0 days 00:00:03.138490,goss,0.5060107821145369,0.024998581332633486,77,7,9,39,3.3752946394686595e-05,0.3700442147195894,,4,COMPLETE,328
451,451,0.18285857637444103,2023-07-06 19:50:28.592719,2023-07-06 19:50:29.849056,0 days 00:00:01.256337,goss,0.46631137250223,0.08078547858758665,99,5,10,15,2.9630525672603452e-08,7.269058278031517e-06,,7,COMPLETE,82
232,232,0.18287441766573218,2023-07-06 19:37:57.358405,2023-07-06 19:38:01.607253,0 days 00:00:04.248848,goss,0.5156754541923031,0.01806113722715802,89,9,10,27,2.1755642406541832e-05,0.007811131790382518,,7,COMPLETE,502
931,931,0.1829139575921146,2023-07-06 20:30:28.353855,2023-07-06 20:30:36.533393,0 days 00:00:08.179538,goss,0.6472081693782448,0.006556822306915963,73,7,13,28,8.335955895278636e-06,4.8503505216216065e-08,,7,COMPLETE,1413
817,817,0.18294832272038813,2023-07-06 20:20:53.830224,2023-07-06 20:20:56.249292,0 days 00:00:02.419068,goss,0.5074755878586141,0.030226298637844665,160,7,12,18,1.787200271820203e-05,1.9944083608514826e-07,,7,COMPLETE,275
568,568,0.18295465173948725,2023-07-06 19:58:10.517935,2023-07-06 19:58:21.468968,0 days 00:00:10.951033,goss,0.588142351916007,0.004515479628715674,77,6,8,48,2.4914292241433043e-07,0.006799626752096322,,7,COMPLETE,1748
388,388,0.18296965049552366,2023-07-06 19:47:14.295328,2023-07-06 19:47:17.079235,0 days 00:00:02.783907,goss,0.5100585274657992,0.026251641301938647,73,5,10,29,8.780090834848399e-06,1.626286655369515e-05,,7,COMPLETE,376
134,134,0.18297765755496292,2023-07-06 19:32:57.630272,2023-07-06 19:32:59.478149,0 days 00:00:01.847877,goss,0.46794105138027997,0.05733152147156032,84,7,10,60,0.00039211825950986873,0.08292118047273817,,1,COMPLETE,190
774,774,0.1830595644126179,2023-07-06 20:17:17.254301,2023-07-06 20:17:22.706279,0 days 00:00:05.451978,goss,0.6227338800296451,0.009343049173914292,71,7,10,10,3.710126196560632e-05,0.0036372900736115995,,4,COMPLETE,795
939,939,0.18307034631688857,2023-07-06 20:31:13.566049,2023-07-06 20:31:15.617036,0 days 00:00:02.050987,goss,0.5397816327606927,0.034197743125823424,70,5,8,8,0.0010587845991387032,3.2163164625804535e-07,,6,COMPLETE,345
382,382,0.183076626891322,2023-07-06 19:46:49.290343,2023-07-06 19:46:50.839386,0 days 00:00:01.549043,goss,0.4953661165961183,0.07959769144013631,69,5,8,33,2.5531862661204167e-06,4.9524371788621715e-05,,7,COMPLETE,129
607,607,0.1830941675420718,2023-07-06 20:02:20.726449,2023-07-06 20:02:22.831098,0 days 00:00:02.104649,goss,0.6857389009374553,0.10575811846647955,88,5,13,28,3.1468745220892e-06,0.017712206035077907,,7,COMPLETE,97
203,203,0.1831420133263384,2023-07-06 19:36:18.218636,2023-07-06 19:36:21.842751,0 days 00:00:03.624115,goss,0.5374219732289933,0.025564037208928893,92,9,11,22,1.832769428957818e-05,0.0018947512453760295,,5,COMPLETE,342
179,179,0.1831604065849708,2023-07-06 19:34:53.924117,2023-07-06 19:34:57.077556,0 days 00:00:03.153439,goss,0.5055455518101267,0.028336174466871384,83,8,10,31,2.808230914669342e-05,0.012675123035140332,,1,COMPLETE,281
281,281,0.1832500619199147,2023-07-06 19:41:20.679225,2023-07-06 19:41:24.978355,0 days 00:00:04.299130,goss,0.5411849649765321,0.015547136647551361,82,9,12,29,6.290685908671979e-06,4.798622760154447e-06,,1,COMPLETE,498
610,610,0.18325403782283523,2023-07-06 20:02:29.642941,2023-07-06 20:02:40.097359,0 days 00:00:10.454418,goss,0.6990778226694271,0.01017785416626094,58,5,10,38,7.909344979916333e-07,3.224568647931969e-07,,7,COMPLETE,929
867,867,0.18333751538215623,2023-07-06 20:25:02.383677,2023-07-06 20:25:07.905696,0 days 00:00:05.522019,goss,0.5894133489736018,0.011119268672429359,85,6,13,84,0.00022675633515411195,0.021820547252682863,,6,COMPLETE,945
852,852,0.18335434125949635,2023-07-06 20:23:51.893171,2023-07-06 20:23:53.916990,0 days 00:00:02.023819,goss,0.4873688019397428,0.04269806595711026,74,7,10,20,5.733262459132368e-07,0.028588400250646347,,2,COMPLETE,196
993,993,0.18340707132334305,2023-07-06 20:35:58.865477,2023-07-06 20:36:03.808226,0 days 00:00:04.942749,goss,0.6002175723656277,0.013735525559041456,74,9,12,28,1.953884465615151e-06,0.007458329203415138,,7,COMPLETE,626
466,466,0.18341200690058335,2023-07-06 19:51:18.721525,2023-07-06 19:51:19.979416,0 days 00:00:01.257891,goss,0.48718064224417357,0.0734722469264736,89,6,8,14,0.4060411253713213,0.0006850154939260384,,7,COMPLETE,133
806,806,0.18344767320223695,2023-07-06 20:19:54.479439,2023-07-06 20:19:59.825608,0 days 00:00:05.346169,goss,0.6708267683214972,0.010927208332939359,77,8,12,25,0.01429291295445811,0.012961961096639668,,4,COMPLETE,912
180,180,0.1834516675676215,2023-07-06 19:34:57.078340,2023-07-06 19:34:59.962723,0 days 00:00:02.884383,goss,0.5061580905995142,0.028750661145578026,82,8,9,30,2.2829267232315643e-05,0.01099143493570493,,1,COMPLETE,256
307,307,0.1834571865010718,2023-07-06 19:43:15.189188,2023-07-06 19:43:21.917823,0 days 00:00:06.728635,goss,0.4919576907013122,0.00937537003449128,84,9,10,24,1.2254973446467785e-05,0.0009743664230266018,,6,COMPLETE,795
294,294,0.18346543214582647,2023-07-06 19:42:17.606867,2023-07-06 19:42:20.942243,0 days 00:00:03.335376,goss,0.5357284565512654,0.01898275159058577,79,9,10,20,3.231847115950984e-05,8.585194163940499e-07,,4,COMPLETE,471
659,659,0.18352943540573216,2023-07-06 20:08:15.623956,2023-07-06 20:08:17.622617,0 days 00:00:01.998661,goss,0.6102617158858963,0.042580837028886015,93,5,9,26,2.805482308482701e-05,1.7769067918178557e-05,,7,COMPLETE,205
323,323,0.18354914866991662,2023-07-06 19:44:08.355013,2023-07-06 19:44:10.471562,0 days 00:00:02.116549,goss,0.510585985103999,0.04115179233575398,84,6,5,31,2.021483568123149e-06,1.0714879760365621e-05,,1,COMPLETE,221
222,222,0.18355383234654543,2023-07-06 19:37:19.858692,2023-07-06 19:37:24.074150,0 days 00:00:04.215458,goss,0.5359739756692607,0.016689989874760357,90,9,10,20,1.931944850937025e-05,0.002263831115863976,,5,COMPLETE,394
695,695,0.18358779376354606,2023-07-06 20:11:28.673602,2023-07-06 20:11:30.912671,0 days 00:00:02.239069,goss,0.5784584443125166,0.03188640789270338,71,4,10,30,0.0003141661141799851,5.625489316879711e-06,,6,COMPLETE,309
876,876,0.18364720585997646,2023-07-06 20:25:28.448514,2023-07-06 20:25:30.782155,0 days 00:00:02.333641,goss,0.5172180200578037,0.03313160444764728,77,6,9,17,0.0004858903897520699,0.0006209325756576741,,5,COMPLETE,237
547,547,0.18365160573520667,2023-07-06 19:56:22.465013,2023-07-06 19:56:24.915862,0 days 00:00:02.450849,goss,0.5250521263878911,0.031090873436320665,91,6,10,77,0.00020736460852595256,2.27451517967439e-05,,6,COMPLETE,314
959,959,0.1836522633120358,2023-07-06 20:32:56.631882,2023-07-06 20:32:59.749848,0 days 00:00:03.117966,goss,0.5305605368827072,0.025184495131715924,82,8,8,32,1.693865991918602e-08,0.015182335227037035,,7,COMPLETE,368
754,754,0.1836565640461882,2023-07-06 20:15:29.089760,2023-07-06 20:15:33.629385,0 days 00:00:04.539625,goss,0.6724340744695102,0.013445252024885043,53,6,8,15,9.178001387154837e-05,0.02037710745372102,,7,COMPLETE,621
585,585,0.18366314711630538,2023-07-06 19:59:37.726744,2023-07-06 19:59:39.496772,0 days 00:00:01.770028,goss,0.6757547085624781,0.03486236387954453,79,5,8,9,6.580655516326967e-05,1.1182289985245361e-05,,7,COMPLETE,222
824,824,0.18370268725089645,2023-07-06 20:21:37.059890,2023-07-06 20:21:39.088568,0 days 00:00:02.028678,goss,0.6672878907546399,0.04139154574587891,78,10,11,24,4.752144244391859e-07,0.0406480417827534,,4,COMPLETE,264
850,850,0.18370332396992,2023-07-06 20:23:48.085614,2023-07-06 20:23:50.374815,0 days 00:00:02.289201,goss,0.5730463025842522,0.05034052794657404,86,8,7,30,3.211573490160961e-08,1.5602761846386467e-05,,1,COMPLETE,143
731,731,0.18373675027880368,2023-07-06 20:14:18.841949,2023-07-06 20:14:20.912735,0 days 00:00:02.070786,goss,0.50833853542162,0.04133747070804277,98,5,9,30,2.7643633205489165e-08,3.2951061612595156e-05,,7,COMPLETE,216
204,204,0.1837466728391679,2023-07-06 19:36:21.843559,2023-07-06 19:36:25.443009,0 days 00:00:03.599450,goss,0.5357944320446972,0.02462309918692811,93,9,10,21,1.9805431160676028e-05,0.0019346859275247651,,5,COMPLETE,489
348,348,0.18378397369530886,2023-07-06 19:45:07.235377,2023-07-06 19:45:08.392389,0 days 00:00:01.157012,goss,0.4984284722870664,0.06531311789659762,96,5,14,23,0.000346469757112901,4.4823178240917456e-05,,1,COMPLETE,178
292,292,0.18379905784259537,2023-07-06 19:42:10.809556,2023-07-06 19:42:14.149800,0 days 00:00:03.340244,goss,0.5449472839967819,0.018246563003653914,73,9,10,22,3.848085097766772e-05,0.00041756294785355916,,4,COMPLETE,530
835,835,0.1838109653691417,2023-07-06 20:22:10.457789,2023-07-06 20:22:12.039660,0 days 00:00:01.581871,goss,0.5080691245611365,0.048634954995086715,88,7,5,6,1.9631882919192626e-08,4.361994606498783e-05,,3,COMPLETE,190
402,402,0.1838529322711382,2023-07-06 19:48:33.025059,2023-07-06 19:48:34.843884,0 days 00:00:01.818825,goss,0.5294305235679436,0.040604379514127854,70,8,12,20,4.218501466860137e-05,0.004124661958699631,,1,COMPLETE,252
355,355,0.18385508163586436,2023-07-06 19:45:27.760696,2023-07-06 19:45:29.311091,0 days 00:00:01.550395,goss,0.525910210820447,0.05245557699715056,85,6,11,26,0.00010925400732158286,6.892444344328738e-06,,1,COMPLETE,203
688,688,0.18386480699284985,2023-07-06 20:10:50.369757,2023-07-06 20:10:53.294722,0 days 00:00:02.924965,goss,0.685620324374869,0.02812190436746929,47,5,9,34,1.3529734076362294e-08,0.001020055669726047,,7,COMPLETE,444
280,280,0.18387745090053517,2023-07-06 19:41:17.145425,2023-07-06 19:41:20.678419,0 days 00:00:03.532994,goss,0.5381889882423376,0.01830155149235575,87,9,12,28,9.16865518242771e-06,3.7436238945936855e-06,,1,COMPLETE,483
486,486,0.18389459372044656,2023-07-06 19:51:57.812363,2023-07-06 19:51:59.280293,0 days 00:00:01.467930,goss,0.4636100017261349,0.08050303917688965,77,6,9,14,4.453784648915058e-07,0.010780605522114408,,4,COMPLETE,103
235,235,0.1839024385888111,2023-07-06 19:38:08.517529,2023-07-06 19:38:13.399541,0 days 00:00:04.882012,goss,0.5136783861804267,0.012121125684031377,87,9,12,32,1.9489278178185852e-05,0.02773898897734941,,7,COMPLETE,699
487,487,0.18391548614468356,2023-07-06 19:51:59.281830,2023-07-06 19:52:00.708530,0 days 00:00:01.426700,goss,0.4782285175031079,0.05320966295828398,94,6,14,11,4.461955044895839e-07,0.026032743776871314,,7,COMPLETE,178
365,365,0.18393288041403139,2023-07-06 19:45:44.076572,2023-07-06 19:45:45.455689,0 days 00:00:01.379117,goss,0.46939297043350364,0.05942403258988056,69,4,8,38,0.00042329395004226734,9.488964933281604e-05,,3,COMPLETE,159
998,998,0.18399845114258773,2023-07-06 20:36:12.948144,2023-07-06 20:36:18.048576,0 days 00:00:05.100432,goss,0.5052854589874677,0.012437143013712074,84,8,9,31,9.04800016094564e-06,0.000877735383378675,,7,COMPLETE,601
170,170,0.18415423804850414,2023-07-06 19:34:26.954459,2023-07-06 19:34:30.204790,0 days 00:00:03.250331,goss,0.5286390772790082,0.025301939189680232,86,8,14,27,8.832085850364662e-06,0.005258378580820256,,1,COMPLETE,342
956,956,0.18416866326555847,2023-07-06 20:32:52.507112,2023-07-06 20:32:53.600222,0 days 00:00:01.093110,goss,0.5102384470506611,0.10145885007568393,36,4,10,30,0.0007910502033808805,0.010840743418388076,,5,COMPLETE,140
615,615,0.18419883085664704,2023-07-06 20:02:55.177587,2023-07-06 20:02:59.712899,0 days 00:00:04.535312,goss,0.699110737069643,0.03395938540662423,84,6,12,31,2.7719785729966673e-07,0.055150506903049186,,1,COMPLETE,367
