,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
198,198,0.24460153535873855,2023-06-13 22:45:47.719422,2023-06-13 22:45:49.378936,0 days 00:00:01.659514,0.6487404341009904,7,0.529325856223685,0.001981261232121541,9.880571222438567,0.06147743590132255,32,4,27,115,COMPLETE
195,195,0.24464364487279341,2023-06-13 22:45:43.397169,2023-06-13 22:45:44.953867,0 days 00:00:01.556698,0.6469105810490371,7,0.5315231870962783,0.0021081250090972652,9.620541370447496,0.0701307672431507,32,4,32,113,COMPLETE
235,235,0.2449244189872592,2023-06-13 22:46:38.766558,2023-06-13 22:46:40.104781,0 days 00:00:01.338223,0.6235076137465819,7,0.5074426722041074,0.0021917450765807037,4.325693920644625,0.08546058088685005,32,4,32,110,COMPLETE
861,861,0.2450531020685414,2023-06-13 23:15:51.706044,2023-06-13 23:15:53.217791,0 days 00:00:01.511747,0.6049379806564087,7,0.5001327017899317,6.817953554018732e-07,6.367895642122941,0.06484281111903589,32,4,29,106,COMPLETE
249,249,0.24508883142291918,2023-06-13 22:47:05.108564,2023-06-13 22:47:06.264865,0 days 00:00:01.156301,0.6329640168513188,7,0.49338539782476465,0.0022783653227980466,5.155155768209708,0.10474526958399802,32,4,31,112,COMPLETE
284,284,0.245203620238237,2023-06-13 22:47:58.392289,2023-06-13 22:47:59.782859,0 days 00:00:01.390570,0.63430413466824,7,0.5174015251887945,0.008649346697255327,9.76115433682938,0.08353006405317362,32,4,24,118,COMPLETE
285,285,0.24542149145410028,2023-06-13 22:47:59.783731,2023-06-13 22:48:01.290359,0 days 00:00:01.506628,0.6348822321947819,7,0.512363449331886,0.009416477897684924,9.68841630061741,0.08008305823063537,44,4,21,119,COMPLETE
208,208,0.24548040159945786,2023-06-13 22:46:02.728670,2023-06-13 22:46:04.071617,0 days 00:00:01.342947,0.6424708763195537,7,0.529648690112974,0.00161105135898067,6.861694139573028,0.0862345871087096,32,4,25,114,COMPLETE
238,238,0.2456206052796467,2023-06-13 22:46:50.131123,2023-06-13 22:46:51.613068,0 days 00:00:01.481945,0.6298985955311739,7,0.5085158074801633,0.0015670869573502057,9.794913222540792,0.07909481942447044,43,4,16,117,COMPLETE
190,190,0.24573946305041786,2023-06-13 22:45:35.345708,2023-06-13 22:45:37.219765,0 days 00:00:01.874057,0.6535349875399833,7,0.5397390944014635,0.0017624669223990667,9.850129749452297,0.053731296378428876,32,4,37,105,COMPLETE
201,201,0.2457410532190998,2023-06-13 22:45:52.351845,2023-06-13 22:45:53.749962,0 days 00:00:01.398117,0.6468767242595915,7,0.5287424990584281,0.0020001583845514555,7.14534424461857,0.0658325687610148,32,4,28,118,COMPLETE
479,479,0.2458872306501484,2023-06-13 22:54:21.192196,2023-06-13 22:54:23.072963,0 days 00:00:01.880767,0.5761317624045458,7,0.4392442636311422,0.0009872095014902757,6.963351428430271,0.0429168754298704,50,7,30,106,COMPLETE
154,154,0.2458963648822813,2023-06-13 22:44:57.445728,2023-06-13 22:44:58.890612,0 days 00:00:01.444884,0.6774495629843688,7,0.5806980975001745,0.0004649999899957137,6.30452823679188,0.06687562094612266,51,4,44,103,COMPLETE
927,927,0.24606458983031101,2023-06-13 23:19:24.165944,2023-06-13 23:19:25.728809,0 days 00:00:01.562865,0.4985714224513588,6,0.5028636246576894,2.0909888224358466e-06,6.521637400443591,0.05468001660133114,48,4,32,119,COMPLETE
619,619,0.2460731697139951,2023-06-13 23:02:02.016201,2023-06-13 23:02:03.432532,0 days 00:00:01.416331,0.6620926502981213,7,0.5278790413494502,0.007083041044954721,9.902224058200295,0.0751079808397243,32,4,34,79,COMPLETE
463,463,0.24611190901519756,2023-06-13 22:54:00.212874,2023-06-13 22:54:01.839890,0 days 00:00:01.627016,0.6571224851124677,7,0.4641846693785901,0.0029393006438986754,9.980244449369069,0.06684862342412368,32,4,32,107,COMPLETE
440,440,0.24613392088129443,2023-06-13 22:53:15.781756,2023-06-13 22:53:17.229243,0 days 00:00:01.447487,0.5822840833389017,7,0.5537230354882284,0.0010798429634331854,7.016757768639413,0.07182518161388453,32,4,27,124,COMPLETE
206,206,0.2461539777879335,2023-06-13 22:46:00.073531,2023-06-13 22:46:01.566423,0 days 00:00:01.492892,0.6416226423297917,7,0.5284068362677038,0.001573321570745188,6.182917539196614,0.05542148842066647,32,4,28,114,COMPLETE
205,205,0.2461717083689114,2023-06-13 22:45:58.254143,2023-06-13 22:46:00.072505,0 days 00:00:01.818362,0.6428053987553376,7,0.5260071446701821,0.0018804172085698412,9.904925193045873,0.056994300807621454,32,4,27,112,COMPLETE
623,623,0.2462510094492581,2023-06-13 23:02:07.936437,2023-06-13 23:02:10.941635,0 days 00:00:03.005198,0.6497215283007203,7,0.5215160088627963,2.8944484632007704e-06,4.997635553357857,0.07626951019607822,32,4,38,92,COMPLETE
477,477,0.24625361964549103,2023-06-13 22:54:18.108430,2023-06-13 22:54:19.395988,0 days 00:00:01.287558,0.5669207121654214,7,0.43035977876535714,0.0031733403401248673,6.875182959652477,0.09158484065984858,45,9,26,106,COMPLETE
