,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state
751,751,0.19228957904568417,2023-06-22 20:34:06.851605,2023-06-22 20:34:08.732348,0 days 00:00:01.880743,goss,0.5645957681489124,0.09403112777871839,44,4,10,103,0.00028385885560562943,1.7287154362716842e-07,,1,COMPLETE
742,742,0.19233183866166784,2023-06-22 20:33:28.815573,2023-06-22 20:33:32.381861,0 days 00:00:03.566288,goss,0.5237108380311056,0.03638799113756062,83,4,16,63,4.315453058467362e-08,0.03868357212438855,,1,COMPLETE
583,583,0.19241241068852488,2023-06-22 20:16:05.748551,2023-06-22 20:16:08.229314,0 days 00:00:02.480763,goss,0.4645123375484594,0.06302416938384454,66,4,11,75,0.00014873609841972222,4.498042084655903e-08,,2,COMPLETE
225,225,0.1924264386313215,2023-06-22 19:50:10.421563,2023-06-22 19:50:13.595576,0 days 00:00:03.174013,goss,0.49476008766173335,0.04494245982216461,83,9,18,71,1.4527749774185058e-07,1.0321598236433669e-08,,2,COMPLETE
350,350,0.1924364701441121,2023-06-22 19:57:41.652910,2023-06-22 19:57:43.979879,0 days 00:00:02.326969,goss,0.5182576608433782,0.06868583661188948,41,8,14,52,3.239228517236826e-05,1.1093236445906237e-05,,2,COMPLETE
271,271,0.1924555058776548,2023-06-22 19:52:58.893015,2023-06-22 19:53:01.825528,0 days 00:00:02.932513,goss,0.5124554192633132,0.0523703636232795,67,9,13,73,7.642503634542755e-06,9.908964156506332e-08,,2,COMPLETE
486,486,0.1926465425954078,2023-06-22 20:07:22.032291,2023-06-22 20:07:24.537439,0 days 00:00:02.505148,goss,0.6012216085433514,0.06256713296853689,42,5,12,88,2.217403547237982e-08,5.198391710642812e-05,,1,COMPLETE
758,758,0.19273294925157733,2023-06-22 20:34:22.660125,2023-06-22 20:34:24.693175,0 days 00:00:02.033050,goss,0.5576556967802887,0.08888115169129283,41,4,12,95,1.1006219208940274e-07,4.385960034991122e-08,,1,COMPLETE
178,178,0.19273801036700455,2023-06-22 19:47:50.342339,2023-06-22 19:47:52.183501,0 days 00:00:01.841162,goss,0.5044057727568159,0.08867640790158476,41,4,13,53,6.140132618936301e-07,3.664610637698331e-08,,2,COMPLETE
755,755,0.19279521254142995,2023-06-22 20:34:15.231882,2023-06-22 20:34:18.626906,0 days 00:00:03.395024,goss,0.5529379506129959,0.10251277198428266,42,4,9,88,6.868771396404907e-08,6.467717738265237e-08,,1,COMPLETE
429,429,0.19292472346237283,2023-06-22 20:04:20.291583,2023-06-22 20:04:21.958945,0 days 00:00:01.667362,goss,0.46882231823335296,0.12426465017089286,52,4,7,82,1.830323170771584e-08,8.639985233625915e-05,,1,COMPLETE
