,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_learning_rate,params_max_leaves,params_min_data_in_leaf,params_random_strength,params_subsample,state
201,201,0.323473657454012,2023-06-22 00:49:09.552232,2023-06-22 00:49:33.130475,0 days 00:00:23.578243,31.629705798171294,,Bayesian,,4,Lossguide,5.472384972298901,0.031216642301820575,109.0,35,54.91779462419563,,COMPLETE
115,115,0.32352309821846575,2023-06-22 00:15:14.975196,2023-06-22 00:15:47.685867,0 days 00:00:32.710671,41.30797909172878,,Bayesian,,4,Lossguide,41.37406499848298,0.05688916745129367,108.0,26,76.84264977768802,,COMPLETE
244,244,0.3235814801631874,2023-06-22 01:03:38.094565,2023-06-22 01:04:03.367232,0 days 00:00:25.272667,44.96942954154351,,Bayesian,,4,Lossguide,16.427941294361517,0.034022826189344844,126.0,41,77.39896211485551,,COMPLETE
188,188,0.3236536364459207,2023-06-22 00:43:28.609324,2023-06-22 00:43:49.008701,0 days 00:00:20.399377,49.033540465729146,,Bayesian,,4,Lossguide,5.546552917866626,0.03629490926708967,66.0,42,83.26838681628364,,COMPLETE
88,88,0.32377205600787784,2023-06-22 00:02:26.192536,2023-06-22 00:02:57.890504,0 days 00:00:31.697968,29.15446070810254,,Bayesian,,4,Depthwise,15.18715045880393,0.02174131992887187,,54,62.700468174935594,,COMPLETE
135,135,0.3237895333446639,2023-06-22 00:23:45.764878,2023-06-22 00:24:19.472388,0 days 00:00:33.707510,34.625802277581165,,Bayesian,,4,Lossguide,32.22594980837477,0.03074573520656394,86.0,43,73.50850369646254,,COMPLETE
212,212,0.3238256276258967,2023-06-22 00:52:54.889286,2023-06-22 00:53:19.036994,0 days 00:00:24.147708,44.81250134957823,,Bayesian,,4,Lossguide,18.142429243220256,0.043150175123635656,111.0,36,73.8444357699177,,COMPLETE
86,86,0.3238445261161324,2023-06-22 00:01:15.741978,2023-06-22 00:01:47.996549,0 days 00:00:32.254571,34.090456584549244,,Bayesian,,4,Depthwise,9.412747418567841,0.01947980076637357,,55,66.06646331859847,,COMPLETE
217,217,0.32391866160858673,2023-06-22 00:54:21.785627,2023-06-22 00:54:45.075766,0 days 00:00:23.290139,36.64420578530332,,Bayesian,,4,Lossguide,8.142302422682345,0.03292137524511903,119.0,49,82.33118007235925,,COMPLETE
320,320,0.32392275664570347,2023-06-22 01:27:55.515052,2023-06-22 01:28:18.424107,0 days 00:00:22.909055,43.1444577773352,,Bayesian,,4,Lossguide,24.75203847364395,0.055647156687883614,91.0,44,0.7580706739660803,,COMPLETE
190,190,0.3240176036773692,2023-06-22 00:44:44.520165,2023-06-22 00:45:13.842309,0 days 00:00:29.322144,41.00387844244446,,Bayesian,,9,Lossguide,13.452901633581934,0.028965079001136575,111.0,84,74.97316137454901,,COMPLETE
144,144,0.324066822793694,2023-06-22 00:26:43.566844,2023-06-22 00:27:04.545706,0 days 00:00:20.978862,42.50243454643509,,Bayesian,,4,Lossguide,10.035049720678403,0.04101911458205366,29.0,39,82.65339186162349,,COMPLETE
210,210,0.32417820747673315,2023-06-22 00:52:26.730041,2023-06-22 00:52:38.437216,0 days 00:00:11.707175,40.81791866748656,,Bayesian,,4,Lossguide,11.696344618289736,0.08314194295745188,5.0,41,45.910981898296484,,COMPLETE
347,347,0.32421852498145287,2023-06-22 01:35:29.415648,2023-06-22 01:36:09.654779,0 days 00:00:40.239131,41.92577604662592,,Bayesian,,4,Lossguide,31.125593867454334,0.02282968717184792,54.0,40,17.276650061612568,,COMPLETE
117,117,0.32423468357768076,2023-06-22 00:16:34.506720,2023-06-22 00:17:04.853608,0 days 00:00:30.346888,45.99423941833928,,Bayesian,,4,Lossguide,25.413359241731936,0.03712003210104102,112.0,25,73.29247628475152,,COMPLETE
242,242,0.32427518091858915,2023-06-22 01:03:02.739337,2023-06-22 01:03:25.020574,0 days 00:00:22.281237,42.686868770834664,,Bayesian,,4,Lossguide,13.394365180360104,0.045943959301730446,124.0,41,83.6481135575562,,COMPLETE
37,37,0.3242835602703122,2023-06-21 23:37:28.425574,2023-06-21 23:37:49.138941,0 days 00:00:20.713367,24.14781736883746,,Bayesian,,4,Depthwise,3.7353107234799885,0.027006454437100164,,41,50.6748734820113,,COMPLETE
184,184,0.32436133333763095,2023-06-22 00:41:56.864551,2023-06-22 00:42:26.378534,0 days 00:00:29.513983,41.01488393621892,,Bayesian,,4,Lossguide,57.38180522039556,0.05661638743730223,106.0,32,78.71609393963352,,COMPLETE
182,182,0.32436496471797055,2023-06-22 00:41:06.957542,2023-06-22 00:41:29.437782,0 days 00:00:22.480240,40.41101234586012,,Bayesian,,4,Lossguide,10.475716999043755,0.034282618554336,97.0,39,86.38378643970243,,COMPLETE
398,398,0.32442688345287635,2023-06-22 01:52:09.783401,2023-06-22 01:52:38.005471,0 days 00:00:28.222070,45.36056998408841,,Bayesian,,4,Depthwise,67.19281348008505,0.055453952079227646,,46,72.2902545826224,,COMPLETE
494,494,0.3244301378211043,2023-06-22 02:20:05.888880,2023-06-22 02:20:22.543187,0 days 00:00:16.654307,31.009259509502936,,Bayesian,,4,Lossguide,18.32619190030821,0.060551449196153906,118.0,51,75.16374247326416,,COMPLETE
357,357,0.32483504764682264,2023-06-22 01:39:18.155909,2023-06-22 01:39:30.093099,0 days 00:00:11.937190,15.621547081890228,,Bayesian,,4,Lossguide,7.4654173640301575,0.06542425478524128,49.0,24,75.75171374443629,,COMPLETE
104,104,0.3248507771626748,2023-06-22 00:09:56.168499,2023-06-22 00:10:22.134484,0 days 00:00:25.965985,26.04936651298663,,Bayesian,,4,Depthwise,1.3976401861386554,0.018403619176979597,,49,70.26227774220077,,COMPLETE
337,337,0.324944082059497,2023-06-22 01:31:53.664751,2023-06-22 01:32:22.411886,0 days 00:00:28.747135,43.63576586509313,,Bayesian,,4,Lossguide,43.10771244496415,0.043072491425407616,69.0,47,11.384739508124019,,COMPLETE
192,192,0.3249493278736345,2023-06-22 00:45:38.947336,2023-06-22 00:46:11.421558,0 days 00:00:32.474222,39.50591120263473,,Bayesian,,4,Lossguide,38.316469843879574,0.043711947489964265,101.0,33,76.79660893678334,,COMPLETE
206,206,0.32501666554483766,2023-06-22 00:50:52.045474,2023-06-22 00:51:11.289130,0 days 00:00:19.243656,39.55163553343822,,Bayesian,,4,Lossguide,7.789430861302266,0.04259980757537233,121.0,48,78.63732703411401,,COMPLETE
147,147,0.32519142727233286,2023-06-22 00:27:28.833736,2023-06-22 00:27:46.632356,0 days 00:00:17.798620,44.29536071079026,,Bayesian,,4,Lossguide,0.35209185084801475,0.03459724847336501,45.0,35,75.04512614818694,,COMPLETE
54,54,0.32521053576733383,2023-06-21 23:45:36.293663,2023-06-21 23:46:12.275136,0 days 00:00:35.981473,44.52905252093136,,Bayesian,,4,Depthwise,44.52665500084066,0.026148228626886958,,45,72.63700414289968,,COMPLETE
382,382,0.3252351854869373,2023-06-22 01:46:50.096073,2023-06-22 01:47:07.600211,0 days 00:00:17.504138,42.11072179907081,,Bayesian,,4,Lossguide,11.922519822789797,0.05890803437118824,51.0,42,77.90334427011307,,COMPLETE
368,368,0.325271112852342,2023-06-22 01:42:59.041608,2023-06-22 01:43:44.050123,0 days 00:00:45.008515,39.8277463836643,,Bayesian,,4,Lossguide,68.92456711675746,0.03313414387934902,101.0,32,21.89338224029445,,COMPLETE
116,116,0.3253317346590782,2023-06-22 00:15:47.686618,2023-06-22 00:16:34.505711,0 days 00:00:46.819093,38.888697308159195,,Bayesian,,4,Lossguide,74.61400542603249,0.04298440543182832,86.0,22,81.25345861170203,,COMPLETE
203,203,0.325332274249263,2023-06-22 00:49:52.091376,2023-06-22 00:50:12.761630,0 days 00:00:20.670254,36.343760055277585,,Bayesian,,4,Lossguide,3.390552392510849,0.03533945537934938,49.0,37,56.61308532056196,,COMPLETE
172,172,0.3254581644155881,2023-06-22 00:37:36.191351,2023-06-22 00:37:53.390105,0 days 00:00:17.198754,42.042588479615134,,Bayesian,,4,Lossguide,11.241887591694292,0.06604016311953845,117.0,40,85.92022951335133,,COMPLETE
91,91,0.3255341203736211,2023-06-22 00:03:44.560588,2023-06-22 00:04:11.881859,0 days 00:00:27.321271,31.08717224783538,,Bayesian,,4,Depthwise,6.928309853348944,0.02116705390706753,,64,62.506597548181496,,COMPLETE
448,448,0.32560919753654716,2023-06-22 02:06:06.083311,2023-06-22 02:06:35.165070,0 days 00:00:29.081759,46.72653789735485,,Bayesian,,4,Lossguide,98.24993787647516,0.06623584282318333,52.0,40,14.721621490399274,,COMPLETE
118,118,0.32578162641928055,2023-06-22 00:17:04.854244,2023-06-22 00:17:43.017351,0 days 00:00:38.163107,42.741850761939965,,Bayesian,,4,Lossguide,40.60933224062338,0.03368161332889479,114.0,29,78.2770936379694,,COMPLETE
166,166,0.32589600549878406,2023-06-22 00:35:03.379316,2023-06-22 00:35:26.523320,0 days 00:00:23.144004,39.42641379071269,,Bayesian,,4,Lossguide,12.682591400653456,0.03718078707561119,111.0,39,71.8107768384977,,COMPLETE
196,196,0.32591887500705896,2023-06-22 00:47:18.405313,2023-06-22 00:47:43.382406,0 days 00:00:24.977093,34.9132024568818,,Bayesian,,4,Lossguide,22.294233747540982,0.03857121440680067,100.0,38,75.6363648620349,,COMPLETE
63,63,0.3260102235153246,2023-06-21 23:50:13.232130,2023-06-21 23:50:28.553009,0 days 00:00:15.320879,46.733910942503,,Bayesian,,4,Depthwise,1.9166874223509094,0.04502388062619127,,36,71.66801159636664,,COMPLETE
373,373,0.32605726774370497,2023-06-22 01:44:49.151493,2023-06-22 01:45:08.466680,0 days 00:00:19.315187,42.49326533894689,,Bayesian,,4,Lossguide,41.281261138076076,0.10076895539518858,92.0,29,76.89509904080641,,COMPLETE
200,200,0.3260768903591314,2023-06-22 00:48:45.768482,2023-06-22 00:49:09.551568,0 days 00:00:23.783086,36.02045801894153,,Bayesian,,4,Lossguide,1.8960721145512702,0.02745249545615524,113.0,40,70.20195953473771,,COMPLETE
165,165,0.3261935017931792,2023-06-22 00:34:36.036313,2023-06-22 00:35:03.378584,0 days 00:00:27.342271,43.2297202413994,,Bayesian,,4,Lossguide,24.102157284501253,0.04281364156059092,114.0,32,81.6207382751856,,COMPLETE
369,369,0.3262014476317318,2023-06-22 01:43:44.050879,2023-06-22 01:44:16.864507,0 days 00:00:32.813628,31.337407609681538,,Bayesian,,4,Lossguide,28.007400375690402,0.03845069435873597,112.0,27,80.49717421243629,,COMPLETE
72,72,0.3262876172103533,2023-06-21 23:53:16.936642,2023-06-21 23:53:38.444822,0 days 00:00:21.508180,39.01752285454684,,Bayesian,,4,Depthwise,4.190467200596318,0.033426752051602636,,42,75.31465326760026,,COMPLETE
176,176,0.3263181012287128,2023-06-22 00:39:03.347043,2023-06-22 00:39:27.316665,0 days 00:00:23.969622,46.89338373242936,,Bayesian,,4,Lossguide,59.840740405551685,0.061566642021232035,118.0,43,88.18920944067857,,COMPLETE
81,81,0.32632829241471567,2023-06-21 23:58:53.375289,2023-06-21 23:59:16.271693,0 days 00:00:22.896404,40.22903340100994,,Bayesian,,4,Depthwise,3.8893430549676085,0.03186989645692701,,41,75.47149457326341,,COMPLETE
97,97,0.32633232916845206,2023-06-22 00:06:55.615648,2023-06-22 00:07:15.277181,0 days 00:00:19.661533,41.21190571332785,,Bayesian,,4,Depthwise,1.2406415133558149,0.029808316950122028,,68,61.56107756544221,,COMPLETE
346,346,0.32638854105814735,2023-06-22 01:35:09.787838,2023-06-22 01:35:29.414778,0 days 00:00:19.626940,40.003647691544856,,Bayesian,,4,Lossguide,2.4211136066934453,0.03456163791881159,113.0,38,78.86072361796262,,COMPLETE
191,191,0.3264764043668021,2023-06-22 00:45:13.843053,2023-06-22 00:45:38.946661,0 days 00:00:25.103608,41.92729112567852,,Bayesian,,4,Lossguide,19.12577714040949,0.04223449995340717,91.0,33,73.899400435936,,COMPLETE
73,73,0.3265043151932276,2023-06-21 23:53:38.445425,2023-06-21 23:53:53.753835,0 days 00:00:15.308410,37.20403671543943,,Bayesian,,4,Depthwise,0.8567041103950288,0.03942970762961308,,50,79.81067239641071,,COMPLETE
364,364,0.32651642544170306,2023-06-22 01:41:38.151503,2023-06-22 01:42:02.670166,0 days 00:00:24.518663,35.038136087616714,,Bayesian,,4,Lossguide,2.9657276903318324,0.025972269774983646,107.0,36,28.502657931943975,,COMPLETE
393,393,0.3265368496200552,2023-06-22 01:50:13.506256,2023-06-22 01:50:31.682973,0 days 00:00:18.176717,43.83973590015374,,Bayesian,,4,Lossguide,4.797476425133846,0.03895410159058068,97.0,36,53.38392345222666,,COMPLETE
282,282,0.3266140190589469,2023-06-22 01:14:56.483320,2023-06-22 01:15:12.823587,0 days 00:00:16.340267,47.48364670056326,,Bayesian,,4,Lossguide,28.104495908373377,0.0664786756538281,114.0,64,48.72551041444979,,COMPLETE
491,491,0.32675184799737084,2023-06-22 02:19:13.190503,2023-06-22 02:19:51.172444,0 days 00:00:37.981941,33.06059634880751,,Bayesian,,4,Lossguide,97.66091754291564,0.04157600438251502,111.0,57,21.237542535666,,COMPLETE
224,224,0.3267875153916221,2023-06-22 00:56:59.642093,2023-06-22 00:57:37.652234,0 days 00:00:38.010141,35.83915967282302,,Bayesian,,4,Lossguide,77.27305541994654,0.07116802031012001,110.0,24,51.29517325902012,,COMPLETE
