,number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state,params_n_estimators
992,992,0.2676865084151371,2023-07-17 16:40:30.656155,2023-07-17 16:40:33.625693,0 days 00:00:02.969538,0.16441441784427593,gbtree,0.8513942548965292,0.013966015298062266,depthwise,0.08362505657882091,0.03841835579101199,9,6,0.549573802031119,COMPLETE,749
274,274,0.2677429018113596,2023-07-17 14:45:16.139705,2023-07-17 14:45:20.135136,0 days 00:00:03.995431,0.1356981191187348,gbtree,0.911004043977578,5.335352418030911e-06,depthwise,0.3047576983391172,0.075728852835449,8,6,0.5704723271015807,COMPLETE,386
91,91,0.26810390359812425,2023-07-17 14:19:00.333145,2023-07-17 14:19:07.306197,0 days 00:00:06.973052,0.0008879617174678243,gbtree,0.8659008259144085,4.1174236428833555e-08,lossguide,1.5595799929529954e-06,0.03621041759599317,3,6,0.6148138890722838,COMPLETE,2987
167,167,0.26813537178296826,2023-07-17 14:29:17.014631,2023-07-17 14:29:23.252658,0 days 00:00:06.238027,0.113620990533239,gbtree,0.7159652014984897,6.319885063779945e-08,depthwise,3.7431304236785125e-06,0.03460164187847354,7,5,0.593547775932574,COMPLETE,844
249,249,0.2682310833279884,2023-07-17 14:41:51.311625,2023-07-17 14:41:58.542266,0 days 00:00:07.230641,0.8294228253959899,gbtree,0.8700217903245714,6.157216734618491e-06,depthwise,0.9537564695192879,0.040605675956636986,9,6,0.5923511452456781,COMPLETE,2998
93,93,0.268235707970574,2023-07-17 14:19:16.436693,2023-07-17 14:19:25.454826,0 days 00:00:09.018133,0.0005324574411191719,gbtree,0.8349481861470767,1.678111877457629e-08,lossguide,1.1970542984093907e-06,0.03132740429385613,3,7,0.592839488751145,COMPLETE,595
99,99,0.26834924998448717,2023-07-17 14:20:20.948062,2023-07-17 14:20:25.828984,0 days 00:00:04.880922,0.0010208916792380442,gbtree,0.8580238505617329,3.775545171436705e-08,lossguide,3.703468005430939e-06,0.08539023988499352,3,6,0.5787565465972357,COMPLETE,1758
241,241,0.268571304953241,2023-07-17 14:40:30.573643,2023-07-17 14:40:40.124848,0 days 00:00:09.551205,0.48719220379087746,gbtree,0.8435955018490617,2.566182855118446e-06,depthwise,0.8952141750788695,0.03086240680157907,7,5,0.5821699618479849,COMPLETE,626
319,319,0.26858009490374146,2023-07-17 14:54:33.602314,2023-07-17 14:54:49.283009,0 days 00:00:15.680695,0.6134404739611445,gbtree,0.6533166133857322,5.2888624981445966e-06,depthwise,1.3136602491091596e-05,0.01703802455348938,8,4,0.6531683936022953,COMPLETE,752
254,254,0.2685994348589657,2023-07-17 14:42:25.119378,2023-07-17 14:42:31.789243,0 days 00:00:06.669865,0.7566464132410344,gbtree,0.8820838566900397,4.973479027973546e-06,depthwise,0.26445278105205083,0.039937523927749234,9,6,0.5937232083634982,COMPLETE,466
202,202,0.26860255772467045,2023-07-17 14:34:41.846669,2023-07-17 14:34:48.570841,0 days 00:00:06.724172,0.02796093521185944,gbtree,0.6771726217371697,2.9789553528557387e-07,depthwise,2.413582289035685e-06,0.03201019529793899,6,5,0.5981291530242464,COMPLETE,649
342,342,0.268649999641605,2023-07-17 15:00:24.414464,2023-07-17 15:00:38.392930,0 days 00:00:13.978466,0.9188465068247986,gbtree,0.8687123911944311,3.739008226452646e-06,depthwise,0.06052686353056734,0.03223689637195989,6,6,0.6291136147970762,COMPLETE,280
