,number,value,datetime_start,datetime_complete,duration,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,state
119,119,0.26523351768881115,2023-06-11 15:14:50.812410,2023-06-11 15:14:52.882511,0 days 00:00:02.070101,4,0.6351542002619466,1.5489305489011082e-05,1.240047209196543e-07,0.17015578141505583,70,4,25,54,COMPLETE
80,80,0.2653733054161669,2023-06-11 15:14:13.867173,2023-06-11 15:14:14.081438,0 days 00:00:00.214265,7,0.689098744645229,0.0022799329862892054,3.441540292829579e-08,0.14163882262308516,127,6,33,58,PRUNED
267,267,0.2656211326922975,2023-06-11 15:16:03.104116,2023-06-11 15:16:05.186856,0 days 00:00:02.082740,3,0.6929747738636773,0.0028392245833742547,1.023357367290762e-06,0.19103760770343856,210,4,15,63,COMPLETE
228,228,0.2657011447736442,2023-06-11 15:15:54.252213,2023-06-11 15:15:57.069397,0 days 00:00:02.817184,2,0.5989169393616577,0.06503553585739251,8.966600810427514e-07,0.13964989338800665,102,7,20,55,COMPLETE
134,134,0.2658009214999198,2023-06-11 15:15:01.806707,2023-06-11 15:15:03.506581,0 days 00:00:01.699874,1,0.6626889632449807,3.03818171043499e-06,7.066308385662769e-08,0.2169082088570623,61,4,12,19,COMPLETE
50,50,0.2658017689442536,2023-06-11 15:13:53.085419,2023-06-11 15:13:55.470864,0 days 00:00:02.385445,6,0.6259959403961112,0.0016076582810507897,1.0243030613041564e-08,0.09719719388817734,209,7,10,9,COMPLETE
163,163,0.2658181913186682,2023-06-11 15:15:22.535000,2023-06-11 15:15:24.489813,0 days 00:00:01.954813,5,0.5937662575506564,3.532792767708007e-06,1.7666963617530113e-07,0.13357287631527884,83,4,14,56,COMPLETE
81,81,0.26598978268703133,2023-06-11 15:14:14.082178,2023-06-11 15:14:16.759455,0 days 00:00:02.677277,1,0.6457543238400895,0.0036285416569069575,2.5084365668499858e-08,0.07801052048752617,227,6,20,29,COMPLETE
54,54,0.2661546791738553,2023-06-11 15:13:55.789483,2023-06-11 15:13:58.664955,0 days 00:00:02.875472,5,0.6549526414773705,0.00042589852891830143,2.5105873520472933e-06,0.08597512138494509,175,7,24,24,COMPLETE
155,155,0.266390217222714,2023-06-11 15:15:16.343647,2023-06-11 15:15:18.408496,0 days 00:00:02.064849,7,0.6240103506425924,2.1026367054543943e-06,5.821756354321892e-07,0.12246319393341581,106,4,14,62,COMPLETE
106,106,0.266417293648895,2023-06-11 15:14:27.453808,2023-06-11 15:14:30.011957,0 days 00:00:02.558149,6,0.6241537480312171,0.00012579981739223097,1.0041000944971732e-06,0.13017082438750407,180,6,25,51,COMPLETE
37,37,0.26661037673797156,2023-06-11 15:13:32.993752,2023-06-11 15:13:38.720199,0 days 00:00:05.726447,5,0.549663095535309,0.00024460202828704107,5.776445110043724e-07,0.04656978765712009,75,7,26,29,COMPLETE
29,29,0.2668436575340089,2023-06-11 15:13:26.768283,2023-06-11 15:13:27.052573,0 days 00:00:00.284290,5,0.5799070308725012,2.34757638526858e-06,1.8040100019182404e-06,0.0595484510634102,115,8,30,49,PRUNED
436,436,0.2669827581237876,2023-06-11 15:16:51.725389,2023-06-11 15:16:54.095325,0 days 00:00:02.369936,5,0.6455115776633682,0.0036829753622451638,5.762342530703758e-05,0.1396030800159063,128,7,14,48,COMPLETE
704,704,0.26700219622285737,2023-06-11 15:17:49.016593,2023-06-11 15:17:51.367788,0 days 00:00:02.351195,6,0.6594467795823244,0.11426392308444697,7.144422118372608e-06,0.17014705397846513,189,5,13,52,COMPLETE
252,252,0.26718119225211884,2023-06-11 15:15:59.011945,2023-06-11 15:16:01.818947,0 days 00:00:02.807002,5,0.5971574299582657,5.313493020515e-07,1.6431221595422095e-05,0.1367655413691469,87,4,21,26,COMPLETE
299,299,0.2674258093413412,2023-06-11 15:16:19.440271,2023-06-11 15:16:21.948371,0 days 00:00:02.508100,5,0.6404575324588411,2.1470821091631308e-05,6.318126766073535e-08,0.12772922263801487,44,4,16,43,COMPLETE
138,138,0.26788727687455793,2023-06-11 15:15:07.014390,2023-06-11 15:15:08.893738,0 days 00:00:01.879348,5,0.6507820206515423,1.07996636711519e-06,6.715339528354209e-07,0.16599356417566355,96,4,22,27,COMPLETE
121,121,0.2679222836605864,2023-06-11 15:14:52.949984,2023-06-11 15:14:55.177405,0 days 00:00:02.227421,5,0.6454430136799831,0.0020639348036278,2.5935329788425165e-08,0.10813432806544618,99,5,19,59,COMPLETE
201,201,0.26793639683776277,2023-06-11 15:15:36.480511,2023-06-11 15:15:38.815940,0 days 00:00:02.335429,5,0.5964507385666573,2.7038942394796367e-06,1.261154778014612e-07,0.1527504184391968,98,4,12,56,COMPLETE
774,774,0.2686941168163106,2023-06-11 15:18:04.944462,2023-06-11 15:18:07.832545,0 days 00:00:02.888083,7,0.6645635999803563,3.1740060282998178e-06,0.01123351476759731,0.1270665764322307,106,4,14,62,COMPLETE
199,199,0.2688429854156886,2023-06-11 15:15:33.787295,2023-06-11 15:15:36.400587,0 days 00:00:02.613292,6,0.628453143002948,0.015610134878027402,5.077327696018723e-07,0.17698393147842648,197,4,25,37,COMPLETE
156,156,0.2689116391871243,2023-06-11 15:15:18.409790,2023-06-11 15:15:20.392452,0 days 00:00:01.982662,1,0.663265050169766,1.218036659973487e-06,4.2779026826462406e-07,0.15303579941228257,102,4,17,28,COMPLETE
270,270,0.269073122730951,2023-06-11 15:16:05.358367,2023-06-11 15:16:07.780494,0 days 00:00:02.422127,5,0.6718439712804948,1.0701445913994168e-05,6.19191007543136e-05,0.1558306682798997,98,5,20,38,COMPLETE
32,32,0.269096826580969,2023-06-11 15:13:27.249055,2023-06-11 15:13:27.463063,0 days 00:00:00.214008,7,0.6476410289489177,8.414813559713599e-05,5.576661788900504e-07,0.03947522190540774,129,6,27,41,PRUNED
63,63,0.2696165423846841,2023-06-11 15:14:02.317895,2023-06-11 15:14:04.387397,0 days 00:00:02.069502,6,0.6616741687145616,0.0001414396719730687,3.671844300823933e-07,0.11529574134210538,162,6,15,21,COMPLETE
130,130,0.27022147691843573,2023-06-11 15:14:57.754315,2023-06-11 15:14:59.872707,0 days 00:00:02.118392,4,0.6084517550456784,5.918852936929766e-07,1.3237949070560282e-08,0.11905918385209982,78,4,11,55,COMPLETE
526,526,0.270798490495551,2023-06-11 15:17:21.307106,2023-06-11 15:17:23.604197,0 days 00:00:02.297091,6,0.5996187934778483,0.006105453457155342,2.520763684539493e-08,0.20098666194928944,103,4,13,12,COMPLETE
797,797,0.27197553822126347,2023-06-11 15:18:10.593310,2023-06-11 15:18:13.059586,0 days 00:00:02.466276,6,0.4812095612250907,6.765794200804384e-05,2.2167878890341806e-08,0.23754179318571703,91,4,13,54,COMPLETE
225,225,0.2723603520517598,2023-06-11 15:15:47.623909,2023-06-11 15:15:49.897828,0 days 00:00:02.273919,1,0.6121621206523484,0.003998338611019809,4.491772860546806e-07,0.19716725036588423,71,4,18,21,COMPLETE
312,312,0.2724477664588542,2023-06-11 15:16:27.197631,2023-06-11 15:16:29.416184,0 days 00:00:02.218553,5,0.6476114602992226,0.005357127568782301,1.5654636200475966e-08,0.17254742924196473,52,7,12,21,COMPLETE
157,157,0.2729984585007096,2023-06-11 15:15:20.393619,2023-06-11 15:15:22.173959,0 days 00:00:01.780340,5,0.6498255970060415,6.329098131719121e-07,2.030332118998737e-06,0.22972836409808212,111,6,20,22,COMPLETE
115,115,0.27359318299659996,2023-06-11 15:14:45.501078,2023-06-11 15:14:47.229796,0 days 00:00:01.728718,5,0.5856578162052045,2.6017430479630146e-06,2.3531159540332605e-06,0.26447627587052386,67,4,14,55,COMPLETE
112,112,0.273814466820066,2023-06-11 15:14:38.953074,2023-06-11 15:14:40.752424,0 days 00:00:01.799350,5,0.5978798626246479,7.06650180507137e-07,9.54350961387615e-08,0.21441145581916485,79,4,19,61,COMPLETE
198,198,0.2738400322773972,2023-06-11 15:15:31.545683,2023-06-11 15:15:33.786037,0 days 00:00:02.240354,5,0.5743190157736694,0.0048138691353585335,1.6313780832619288e-08,0.1549720885923066,32,7,13,20,COMPLETE
149,149,0.27385943439798843,2023-06-11 15:15:11.598758,2023-06-11 15:15:13.929167,0 days 00:00:02.330409,6,0.645510484797564,7.842424736917314e-05,1.6909002914684167e-07,0.11007505748906203,136,6,12,58,COMPLETE
415,415,0.2745932835723608,2023-06-11 15:16:49.632287,2023-06-11 15:16:49.760720,0 days 00:00:00.128433,4,0.6675494110118594,4.452409695640942e-08,1.333726964908138e-06,0.15204484329513507,165,9,24,57,PRUNED
8,8,0.27466273238227323,2023-06-11 15:11:51.687590,2023-06-11 15:12:27.894613,0 days 00:00:36.207023,4,0.6637318495711606,0.13012509208156234,1.9004100172547396e-08,0.00632594014072472,181,6,8,43,COMPLETE
45,45,0.2747481679379812,2023-06-11 15:13:49.952619,2023-06-11 15:13:52.474609,0 days 00:00:02.521990,5,0.600624717781491,0.00046246051866414683,1.8207862643582817e-07,0.1697898618038259,208,7,37,25,COMPLETE
501,501,0.2751900877360158,2023-06-11 15:17:18.686528,2023-06-11 15:17:18.825926,0 days 00:00:00.139398,6,0.6402693599034396,0.9622948972566976,6.816200957266959e-06,0.19231000036026027,136,6,21,30,PRUNED
446,446,0.2752336162309154,2023-06-11 15:16:54.994485,2023-06-11 15:16:57.364679,0 days 00:00:02.370194,6,0.5834787702140578,1.0725872697705162e-07,5.62736805168324e-08,0.15574722571891247,49,4,8,43,COMPLETE
137,137,0.275236403973611,2023-06-11 15:15:05.344147,2023-06-11 15:15:07.013243,0 days 00:00:01.669096,2,0.5778546550129345,7.493636840262382e-06,1.409432856700678e-07,0.24286381954095204,43,4,16,17,COMPLETE
136,136,0.2754852261479283,2023-06-11 15:15:03.582580,2023-06-11 15:15:05.343029,0 days 00:00:01.760449,6,0.6144877378347899,1.0863354162301232e-06,4.52889152831057e-08,0.18993246424498234,56,4,13,22,COMPLETE
391,391,0.275512560315079,2023-06-11 15:16:45.246190,2023-06-11 15:16:47.481659,0 days 00:00:02.235469,6,0.6505349063044447,3.307896678789347e-07,4.9405294554496e-07,0.14694958195299934,103,8,19,62,COMPLETE
285,285,0.2756260262021734,2023-06-11 15:16:11.429668,2023-06-11 15:16:13.883770,0 days 00:00:02.454102,7,0.6093511164968641,0.0075456760293124035,1.50438602499496e-08,0.14191628001235354,92,6,13,29,COMPLETE
557,557,0.27563334932702305,2023-06-11 15:17:26.983241,2023-06-11 15:17:29.795221,0 days 00:00:02.811980,7,0.538359248161149,1.771349253969296e-05,0.001417672237552001,0.2168015418723278,144,4,23,58,COMPLETE
300,300,0.2756532168878439,2023-06-11 15:16:21.949593,2023-06-11 15:16:24.350227,0 days 00:00:02.400634,7,0.6886403018666761,5.357663774944743e-06,2.3281682013838575e-07,0.15375218802124244,117,4,13,58,COMPLETE
118,118,0.27628826512604615,2023-06-11 15:14:49.065360,2023-06-11 15:14:50.811293,0 days 00:00:01.745933,6,0.5922848660948641,0.00030465593400353784,5.117937784430831e-08,0.20325606876977928,89,4,21,57,COMPLETE
368,368,0.2764269773340585,2023-06-11 15:16:41.046917,2023-06-11 15:16:43.188533,0 days 00:00:02.141616,6,0.6785799035114728,6.304912736048323e-08,5.1066798854578064e-05,0.16640770624195073,152,6,18,38,COMPLETE
181,181,0.27661385210475825,2023-06-11 15:15:25.767358,2023-06-11 15:15:28.181693,0 days 00:00:02.414335,6,0.6823704000627328,2.607884091757063e-06,1.0534765633352032e-05,0.14253330356553137,169,4,11,56,COMPLETE
437,437,0.2766476365294679,2023-06-11 15:16:54.096618,2023-06-11 15:16:54.209307,0 days 00:00:00.112689,6,0.6300396738023846,0.007742934020130182,8.47928968126995e-07,0.1815265576213277,222,6,18,40,PRUNED
139,139,0.27674296355016875,2023-06-11 15:15:08.894958,2023-06-11 15:15:10.946709,0 days 00:00:02.051751,6,0.6825823327919399,3.116059806588664e-06,2.3666042941309804e-08,0.1303689881798824,47,4,5,25,COMPLETE
226,226,0.27803752578847735,2023-06-11 15:15:49.899077,2023-06-11 15:15:51.809717,0 days 00:00:01.910640,5,0.6611358968464031,0.009111862795162295,2.8091011607742087e-07,0.28945006062873857,84,4,21,59,COMPLETE
459,459,0.27822532009559586,2023-06-11 15:17:05.538293,2023-06-11 15:17:08.339748,0 days 00:00:02.801455,6,0.6757563795713171,2.3284708215611646e-06,2.329884378662555e-06,0.16619640987735165,79,7,20,29,COMPLETE
886,886,0.27834062516910046,2023-06-11 15:18:24.798593,2023-06-11 15:18:26.901193,0 days 00:00:02.102600,7,0.6630217284030706,7.4326148685791765e-06,2.736568993980293e-08,0.22764513270192202,105,4,22,54,COMPLETE
458,458,0.27910575213600747,2023-06-11 15:17:02.879287,2023-06-11 15:17:05.536937,0 days 00:00:02.657650,6,0.6649670053775781,0.009423743484302149,1.356183850102484e-06,0.20862903118906617,77,7,21,30,COMPLETE
